Airport,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out,Dom_Pax_Total,Int_Pax_Total,Pax_Total,status
CANBERRA,MAY,127315,128384.6,1741.6,2265.4,255699.6,4007,259706.6,pre
CANBERRA,NOV,137179,136121.4,2600,2877.6,273300.4,5477.6,278778,pre
CANBERRA,OCT,139607.8,134078.4,3165.4,2668.2,273686.2,5833.6,279519.8,pre
CANBERRA,SEP,130455.6,132365.2,2444.6,2950.8,262820.8,5395.4,268216.2,pre
DARWIN,APR,73518.8,71657,10141.2,10080,145175.8,20221.2,165397,pre
DARWIN,AUG,86923.4,92187.4,11611.6,12077.6,179110.8,23689.2,202800,pre
DARWIN,DEC,61719.2,73406.6,8220,14610.4,135125.8,22830.4,157956.2,pre
DARWIN,FEB,52727.2,53624.6,9594.4,7696.2,106351.8,17290.6,123642.4,pre
DARWIN,JAN,69870,58462.8,15424.4,10321,128332.8,25745.4,154078.2,pre
DARWIN,JUL,96409.2,99305.8,14019.4,12183.2,195715,26202.6,221917.6,pre
DARWIN,JUN,87486,82138.8,10644.2,12780.4,169624.8,23424.6,193049.4,pre
DARWIN,MAR,64805.2,63948.6,8785.2,8932.8,128753.8,17718,146471.8,pre
DARWIN,MAY,76212.8,73212.6,9961.4,10436.2,149425.4,20397.6,169823,pre
DARWIN,NOV,65649.8,67493.2,9141.4,9305.4,133143,18446.8,151589.8,pre
DARWIN,OCT,76892.8,81810.4,11241.2,9916.4,158703.2,21157.6,179860.8,pre
DARWIN,SEP,80711,81669.8,11016.2,10726.6,162380.8,21742.8,184123.6,pre
GOLD COAST,APR,224299,229613.6,44366.6,40111.4,453912.6,84478,538390.6,pre
GOLD COAST,AUG,214273,217537.6,42452.4,42635.6,431810.6,85088,516898.6,pre
GOLD COAST,DEC,251152.8,239088,45775,52452.2,490240.8,98227.2,588468,pre
GOLD COAST,FEB,190680,195659.4,39734,35193,386339.4,74927,461266.4,pre
GOLD COAST,JAN,250286,269737.2,52631.6,44715.4,520023.2,97347,617370.2,pre
GOLD COAST,JUL,236462.8,238199.4,51831,42630.4,474662.2,94461.4,569123.6,pre
GOLD COAST,JUN,196424.4,189607.6,37117.4,40081.6,386032,77199,463231,pre
GOLD COAST,MAR,215782.2,212595.2,42067,40484,428377.4,82551,510928.4,pre
GOLD COAST,MAY,193639.2,195581.6,37520,34943.4,389220.8,72463.4,461684.2,pre
GOLD COAST,NOV,221039.6,224635.6,38370,39886.2,445675.2,78256.2,523931.4,pre
GOLD COAST,OCT,242563.6,250796.8,45384.8,42027.6,493360.4,87412.4,580772.8,pre
GOLD COAST,SEP,236069.4,224861,41369.8,42782.8,460930.4,84152.6,545083,pre
HOBART,APR,102928.8,108995,0,0,211923.8,0,211923.8,pre
HOBART,AUG,89298.8,90159.4,0,0,179458.2,0,179458.2,pre
HOBART,DEC,133628.6,118625.8,0,0,252254.4,0,252254.4,pre
HOBART,FEB,105334.4,103111.6,0,0,208446,0,208446,pre
HOBART,JAN,117448.6,133209,0,0,250657.6,0,250657.6,pre
HOBART,JUL,98033.4,100458.2,0,0,198491.6,0,198491.6,pre
HOBART,JUN,89642.2,89565.6,0,0,179207.8,0,179207.8,pre
HOBART,MAR,110638,113960.8,0,0,224598.8,0,224598.8,pre
HOBART,MAY,88004.4,91576.6,0,0,179581,0,179581,pre
HOBART,NOV,111603.6,110908.4,0,0,222512,0,222512,pre
HOBART,OCT,110633.6,108106.6,0,0,218740.2,0,218740.2,pre
HOBART,SEP,98016.4,93168,0,0,191184.4,0,191184.4,pre
KARRATHA,APR,20666.4,20454.2,0,0,41120.6,0,41120.6,pre
KARRATHA,AUG,20849.4,21318.6,0,0,42168,0,42168,pre
KARRATHA,DEC,16415.8,20406,0,0,36821.8,0,36821.8,pre
KARRATHA,FEB,18724.4,18767.6,0,0,37492,0,37492,pre
KARRATHA,JAN,21220.4,17453.2,0,0,38673.6,0,38673.6,pre
KARRATHA,JUL,21806,21314.4,0,0,43120.4,0,43120.4,pre
KARRATHA,JUN,20098,20643.8,0,0,40741.8,0,40741.8,pre
KARRATHA,MAR,20247.8,20808.2,0,0,41056,0,41056,pre
KARRATHA,MAY,21627.6,21405,0,0,43032.6,0,43032.6,pre
KARRATHA,NOV,20844.6,20812,0,0,41656.6,0,41656.6,pre
KARRATHA,OCT,21842,21012.2,0,0,42854.2,0,42854.2,pre
KARRATHA,SEP,20325,21112.2,0,0,41437.2,0,41437.2,pre
LAUNCESTON,APR,57697.4,61072.2,0,0,118769.6,0,118769.6,pre
LAUNCESTON,AUG,46085.6,46097.4,0,0,92183,0,92183,pre
LAUNCESTON,DEC,73483.2,64205,0,0,137688.2,0,137688.2,pre
LAUNCESTON,FEB,57020.4,55898.6,0,0,112919,0,112919,pre
LAUNCESTON,JAN,66521,74911.2,0,0,141432.2,0,141432.2,pre
LAUNCESTON,JUL,53415.6,54925,0,0,108340.6,0,108340.6,pre
LAUNCESTON,JUN,44648.4,44642,0,0,89290.4,0,89290.4,pre
LAUNCESTON,MAR,61023.2,62689,0,0,123712.2,0,123712.2,pre
LAUNCESTON,MAY,46497.2,48455.2,0,0,94952.4,0,94952.4,pre
LAUNCESTON,NOV,59129.2,57927.8,0,0,117057,0,117057,pre
LAUNCESTON,OCT,56895,55172,0,0,112067,0,112067,pre
LAUNCESTON,SEP,50262.2,48466.2,0,0,98728.4,0,98728.4,pre
MACKAY,APR,33645.8,33341,0,0,66986.8,0,66986.8,pre
MACKAY,AUG,35367.8,35837,0,0,71204.8,0,71204.8,pre
MACKAY,DEC,32875.4,34681.4,0,0,67556.8,0,67556.8,pre
MACKAY,FEB,28554.2,29091.8,0,0,57646,0,57646,pre
MACKAY,JAN,31698.4,30209,0,0,61907.4,0,61907.4,pre
MACKAY,JUL,36734.4,36606.4,0,0,73340.8,0,73340.8,pre
MACKAY,JUN,33356.6,33354,0,0,66710.6,0,66710.6,pre
MACKAY,MAR,33272,33364.6,0,0,66636.6,0,66636.6,pre
MACKAY,MAY,34391.4,34579.6,0,0,68971,0,68971,pre
MACKAY,NOV,33202.4,33526.2,0,0,66728.6,0,66728.6,pre
MACKAY,OCT,35676.2,35650,0,0,71326.2,0,71326.2,pre
MACKAY,SEP,35150.4,35474.8,0,0,70625.2,0,70625.2,pre
MELBOURNE,APR,1049861.2,1023452,409397.2,411393,2073313.2,820790.2,2894103.4,pre
