"Airport","Month","Dom_Pax_In","Dom_Pax_Out","Int_Pax_In","Int_Pax_Out","Pax_In"
"HOBART","MAY",88004.4,91576.6,0,0,88004.4
"HOBART","NOV",111603.6,110908.4,0,0,111603.6
"HOBART","OCT",110633.6,108106.6,0,0,110633.6
"HOBART","SEP",98016.4,93168,0,0,98016.4
"KARRATHA","APR",20666.4,20454.2,0,0,20666.4
"KARRATHA","AUG",20849.4,21318.6,0,0,20849.4
"KARRATHA","DEC",16415.8,20406,0,0,16415.8
"KARRATHA","FEB",18724.4,18767.6,0,0,18724.4
"KARRATHA","JAN",21220.4,17453.2,0,0,21220.4
"KARRATHA","JUL",21806,21314.4,0,0,21806
"KARRATHA","JUN",20098,20643.8,0,0,20098
"KARRATHA","MAR",20247.8,20808.2,0,0,20247.8
"KARRATHA","MAY",21627.6,21405,0,0,21627.6
"KARRATHA","NOV",20844.6,20812,0,0,20844.6
"KARRATHA","OCT",21842,21012.2,0,0,21842
"KARRATHA","SEP",20325,21112.2,0,0,20325
"LAUNCESTON","APR",57697.4,61072.2,0,0,57697.4
"LAUNCESTON","AUG",46085.6,46097.4,0,0,46085.6
"LAUNCESTON","DEC",73483.2,64205,0,0,73483.2
"LAUNCESTON","FEB",57020.4,55898.6,0,0,57020.4
"LAUNCESTON","JAN",66521,74911.2,0,0,66521
"LAUNCESTON","JUL",53415.6,54925,0,0,53415.6
"LAUNCESTON","JUN",44648.4,44642,0,0,44648.4
"LAUNCESTON","MAR",61023.2,62689,0,0,61023.2
"LAUNCESTON","MAY",46497.2,48455.2,0,0,46497.2
"LAUNCESTON","NOV",59129.2,57927.8,0,0,59129.2
"LAUNCESTON","OCT",56895,55172,0,0,56895
"LAUNCESTON","SEP",50262.2,48466.2,0,0,50262.2
"MACKAY","APR",33645.8,33341,0,0,33645.8
"MACKAY","AUG",35367.8,35837,0,0,35367.8
"MACKAY","DEC",32875.4,34681.4,0,0,32875.4
"MACKAY","FEB",28554.2,29091.8,0,0,28554.2
"MACKAY","JAN",31698.4,30209,0,0,31698.4
"MACKAY","JUL",36734.4,36606.4,0,0,36734.4
"MACKAY","JUN",33356.6,33354,0,0,33356.6
"MACKAY","MAR",33272,33364.6,0,0,33272
"MACKAY","MAY",34391.4,34579.6,0,0,34391.4
"MACKAY","NOV",33202.4,33526.2,0,0,33202.4
"MACKAY","OCT",35676.2,35650,0,0,35676.2
"MACKAY","SEP",35150.4,35474.8,0,0,35150.4
"MELBOURNE","APR",1049861.2,1023452,409397.2,411393,1459258.4
"MELBOURNE","AUG",1036291,1034569,420421.8,426595.6,1456712.8
"MELBOURNE","DEC",1068255.8,1106679.8,461896.2,531078.8,1530152
"MELBOURNE","FEB",949839,941300.6,430296,365990.2,1380135
"MELBOURNE","JAN",1076234.8,1020135.2,511478.2,443404.2,1587713
"MELBOURNE","JUL",1117913.2,1084279.2,492890.2,420994.4,1610803.4
"MELBOURNE","JUN",940144.4,983259,368995.2,444142.4,1309139.6
"MELBOURNE","MAR",1059711.6,1080294.4,399337.4,415301,1459049
"MELBOURNE","MAY",979102.8,984662.4,357861.6,384552.8,1336964.4
"MELBOURNE","NOV",1095445.6,1083385.8,419481.6,426633.4,1514927.2
"MELBOURNE","OCT",1138344.4,1123496.8,475388.4,397389.6,1613732.8
"MELBOURNE","SEP",1047666.8,1057201.2,428090.4,430632.8,1475757.2
"NEWCASTLE","APR",50502,51271,0,0,50502
"NEWCASTLE","AUG",50574.2,50189.6,0,0,50574.2
"NEWCASTLE","DEC",53936.6,52801.6,445.8,497,54382.4
"NEWCASTLE","FEB",44203,44627.2,123.8,95,44326.8
"NEWCASTLE","JAN",50461.6,51241.8,315,255.6,50776.6
"NEWCASTLE","JUL",53540.4,53941.8,0,0,53540.4
"NEWCASTLE","JUN",47196,47155.8,0,0,47196
"NEWCASTLE","MAR",51348.8,51334,0,0,51348.8
"NEWCASTLE","MAY",49252.4,49499.8,0,0,49252.4
"NEWCASTLE","NOV",53898,54169.4,112,128.6,54010
"NEWCASTLE","OCT",56760.6,56575.2,0,0,56760.6
"NEWCASTLE","SEP",52463.2,52888,0,0,52463.2
"PERTH","APR",344222,346043.6,174010.4,183715.2,518232.4
"PERTH","AUG",337332.2,332809.8,174684.8,172901.8,512017
"PERTH","DEC",361630.6,349804.6,185741,229821.8,547371.6
"PERTH","FEB",293683.8,298300.4,177000.2,147391.8,470684
"PERTH","JAN",340372.4,353942.6,235942.2,191385,576314.6
"PERTH","JUL",357325.6,366977.6,210583,182088.2,567908.6
"PERTH","JUN",317892.8,312445.2,155002.6,186106,472895.4
"PERTH","MAR",343434.6,338273,166959.4,173001.2,510394
"PERTH","MAY",326983.6,329177.4,152507.6,162162.6,479491.2
"PERTH","NOV",344524,342964.6,169079.6,167844.2,513603.6
"PERTH","OCT",366309.4,365712,205745.6,165129,572055
"PERTH","SEP",340025.8,344637.8,182060.2,186461.8,522086
"ROCKHAMPTON","APR",22060,21837.6,0,0,22060
"ROCKHAMPTON","AUG",25142.4,25327,0,0,25142.4
"ROCKHAMPTON","DEC",23453.2,23993.4,0,0,23453.2
"ROCKHAMPTON","FEB",20316.6,20292.2,0,0,20316.6
"ROCKHAMPTON","JAN",21462.8,20126.8,0,0,21462.8
"ROCKHAMPTON","JUL",25994.2,26316.2,0,0,25994.2
"ROCKHAMPTON","JUN",24347.6,24171.8,0,0,24347.6
"ROCKHAMPTON","MAR",24613.4,24959.8,0,0,24613.4
"ROCKHAMPTON","MAY",25586.4,25588,0,0,25586.4
"ROCKHAMPTON","NOV",23970.2,24517.8,0,0,23970.2
"ROCKHAMPTON","OCT",25691.4,25678.2,0,0,25691.4
"ROCKHAMPTON","SEP",25094.2,25131.8,0,0,25094.2
"SUNSHINE COAST","APR",47211.2,48044.6,0,0,47211.2
"SUNSHINE COAST","AUG",44238,44518.4,1862,1633.4,46100
"SUNSHINE COAST","DEC",53569.4,50246.2,127.2,140.2,53696.6
"SUNSHINE COAST","FEB",34125.6,34545.4,159.8,158.2,34285.4
"SUNSHINE COAST","JAN",48439.4,53506,231.4,206.2,48670.8
"SUNSHINE COAST","JUL",49736.2,49358.6,1913.2,1359.4,51649.4
"SUNSHINE COAST","JUN",39617.6,37123,55.4,32.8,39673
"SUNSHINE COAST","MAR",41787.2,40697.2,0,0,41787.2
"SUNSHINE COAST","MAY",37636.4,38107,0,0,37636.4
"SUNSHINE COAST","NOV",48281.2,49404,0,0,48281.2
"SUNSHINE COAST","OCT",52065,54374.2,1496.8,1476.6,53561.8
"SUNSHINE COAST","SEP",51306.4,48937.2,1861.2,1728.2,53167.6
"SYDNEY","APR",1118062.4,1118296.2,633745.8,653178.4,1751808.2
"SYDNEY","AUG",1128539.2,1114054.8,632739.2,642895.8,1761278.4
"SYDNEY","DEC",1166027.8,1168658.8,701708.6,821032,1867736.4
"SYDNEY","FEB",1033366.8,1033376.6,651930.8,574411.6,1685297.6
"SYDNEY","JAN",1115231.4,1113720.6,813845,703530.2,1929076.4
"SYDNEY","JUL",1166948.8,1185961.6,735197.2,649240,1902146
"SYDNEY","JUN",1041784.6,1033016.6,556672.6,652330.8,1598457.2
"SYDNEY","MAR",1163522.8,1151441.4,621202,639753,1784724.8
"SYDNEY","MAY",1085075,1071318.6,565070.2,590288.8,1650145.2
"SYDNEY","NOV",1178680.8,1175471.4,632314.8,647249.6,1810995.6
"SYDNEY","OCT",1226132.4,1212057,719644.6,616187.4,1945777
"SYDNEY","SEP",1119977,1139500.2,637851,650844,1757828
"TOWNSVILLE","APR",63762.8,62732.8,771.4,860.8,64534.2
"TOWNSVILLE","AUG",68621.6,70390.2,867.2,869.8,69488.8
"TOWNSVILLE","DEC",64076.4,68506.6,956.8,1224.2,65033.2
"TOWNSVILLE","FEB",49818.4,49795.4,1041.8,1020.8,50860.2
"TOWNSVILLE","JAN",59592,55065.4,1273.4,1064,60865.4
"TOWNSVILLE","JUL",76224.2,74210,970,951.8,77194.2
"TOWNSVILLE","JUN",65740,65311.2,828.8,897,66568.8
"TOWNSVILLE","MAR",61069,61364.8,980.4,918.2,62049.4
"TOWNSVILLE","MAY",64209.2,64105.8,780.4,917.4,64989.6
"TOWNSVILLE","NOV",61748.8,63880.6,698.6,878.2,62447.4
"TOWNSVILLE","OCT",69166.8,69054.4,1229.2,1132.4,70396
"TOWNSVILLE","SEP",68263,70181,1105.8,1226.4,69368.8
